caption,likes
"Selamat Tahun Baru Imlek, semoga di tahun yang baru ini kita semua limpah rezeki. Yuk liat liat koleksi UNIQLO Galaxy Mall 3 buat memeriahkan ilmek kita. UNIQLO sendiri terletak di lantai 1F.  Kalo kamu dari GM 1 dan 2 bisa tetap menuju ke Galaxy Mall 3 tanpa perlu menyeberang turun ke jalan melalui akses Skybridge. Yuk tonton video @nellaestantina kemarin belanja di @uniqloindonesia  @galaxymallsby untuk persiapan Imlek.

#uniqloindonesia #uniqlolifewear #uniqloCNY",149
@hatihatikepengen captured by @helminerina,953
"At @gawacafe.id captured by @helminerina

Tag temen kamu yang mau diajak kesini☝🏼",1761
"🦊🦊🦊
-
📍 @mrfoxsurabaya
📷 @jackmagnifico

#sbygoodplace
#exploresurabaya",2513
"Whats new in Surabaya?
-
📍 @kampihotels
📷 @claudioharendp
#sbygoodplace
#exploresurabaya",572
"Buka puasa dimana hari ini?
-
📍@tbrkrumahkopi
📷 @helminerina

#sbygoodplace
#exploresurabaya",3863
".
📍 @locaahands_
📸 @ericklim
#sbygoodplace
#exploresurabaya",1350
".
📍 @artap.id
📷 @endahkus_
#sbygoodplace
#exploresurabaya",3041
".
📍 @goodstone.sby
📸 @pikipoto
#sbygoodplace
#exploresurabaya",2051
".
📍 @kampihotels
📷 @fauzanview
#sbygoodplace
#exploresurabaya",486
"Happy Monday 💪🏼👋🏼
-
📍 @cocoro.sub
📷 @oliviashienny
#sbygoodplace
#exploresurabaya",1238
"Monday please be good 🤗 📍 @foreseebyangies
📷 @dhiptadi

#sbygoodplace
#exploresurabaya",1746
"Menepi sejenak dari Surabaya 😍
-
📍 @dgunungan
📷 @manganbro",3102
"One gloomy evening 🌧
-
📍 @maxonedharmahusada
📷 @karlinachandraa
#sbygoodplace
#exploresurabaya",1661
"Happy weekend!
.
📍 @petrichor.cafe
📷 @pikipoto
#sbygoodplace
#exploresurabaya",1546
"Have a colorful day everyone!
-
📍 @caturraespresso
📷 @msbianglala
#sbygoodplace
#exploresurabaya",1269
"Hari Minggu pada main kemana?
.
📍 @madeonecoffee
📷 @fldzfjrn
.
#sbygoodplace
#exploresurabaya",1273
"Last day of July 👐🏼
.
📍 @timoerkopi
📷 @nathan.nb21
.
#sbygoodplace
#exploresurabaya",2176
"Life is short, enjoy your coffee
.
📍 @excelso.hrm
📷 @jackmagnifico
#sbygoodplace
#exploresurabaya",1936
"Surabaya lagi sepi banget, pasti udah pada mudik ya? Selamat mudik dan hati hati di jalan yaa 👋🏼
.
📍 @volkscoffeeid
📷 @bagusekasentosa14
.
#sbygoodplace
#exploresurabaya",1819
"Lebaran sebentar lagi 🕌
.
📍 @larazeta_resto
📷 @oliviashienny l
.
#sbygoodplace
#exploresurabaya",599
"🦊🦊🦊
.
📍 @mrfoxsurabaya
📷 @chrisyeoctaviani
#sbygoodplace
#exploresurabaya",1233
"All white today 💡
.
📍 @molecula.concept
📷 @hananindya
#sbygoodplace
#exploresurabaya",930
"Buka puasa dimana hari ini?
.
📍 @bumisurabaya
📷 @halimsilvia
#sbygoodplace
#exploresurabaya",1499
"salah satu refrensi gelato di surabaya 🍦 surabaya emg terkenal cuaca panasnya, cocok banget kan buat kalian yang suka dingindingin, tempatnya pun cozy + cute abis 😍 .
.
📍@onnogelato
.
.
📸@helminerina

#cafesuroboyo #cafesub #cafehits #cafesby #kafedisurabaya #surabayakafe #tempatsurabaya #nongkrongsurabaya #ngopisub  #cafesurabaya #exploresby #jalansurabaya #makansurabaya #kulinersby #tempathitzsby #hitzsurabaya #surabayasparkling #surabayacafe #surabayabarat #sehat  #surabayajalanjalan #exploresurabaya #kafedisurabaya #kopisurabaya",45
"surabaya emg gada habisnya tempat buat ngopi, kopi store mungil ini cozy banget buat kalian yg suka explore kopikopi ☕ .
📸@aditkakbar .
📍@kopicuan

#cafesuroboyo #cafesub #cafehits #cafesby #kafedisurabaya #surabayakafe #tempatsurabaya #nongkrongsurabaya #ngopisub  #cafesurabaya #exploresby #jalansurabaya #makansurabaya #kulinersby #tempathitzsby #hitzsurabaya #surabayasparkling #surabayacafe #surabayabarat #sehat  #surabayajalanjalan #exploresurabaya #kafedisurabaya #kopisurabaya",40
"siangg siangg gini cocok banget lunch di Lisa's Kitchen 😍 cozy banget buat kalian yang mau duduk2 di pinggir kolam sambil santai bareng temen temen .
📍@lalisahotel .
💸Food : 28k-68k
💸Drink : 25k-35k

#cafesuroboyo #cafesub #cafehits #cafesby #kafedisurabaya #surabayakafe #tempatsurabaya #nongkrongsurabaya #ngopisub  #cafesurabaya #exploresby #jalansurabaya #makansurabaya #kulinersby #tempathitzsby #hitzsurabaya #surabayasparkling #surabayacafe #surabayabarat #sehat  #surabayajalanjalan #exploresurabaya #kafedisurabaya #kopisurabaya",33
"Lunch time! ada tempat baru di jalan dinoyo, cocok banget buat kalian yg suka masakan rumahan, suananya vintage + nyaman abis buat makan siang bareng temen dan keluarga 😀
.
📍@paviljoen_surabaya .
💸 Food : 20k-85k .
💸 Drink : 8k - 20k 
#cafesuroboyo #cafesub #cafehits #cafesby #kafedisurabaya #surabayakafe #tempatsurabaya #nongkrongsurabaya #ngopisub  #cafesurabaya #exploresby #jalansurabaya #makansurabaya #kulinersby #tempathitzsby #hitzsurabaya #surabayasparkling #surabayacafe #surabayabarat #sehat  #surabayajalanjalan #exploresurabaya #kafedisurabaya #kopisurabaya",44
"Bali vibes 😍😍 Buat kalian yg pengen cari tropical vibes, wajib kesini guys! tempatnya cozy, bisa banget buat foto2 krn tempatnya instagramable abis, tp disini gaboleh bawa CAMERA ya 🚫 karna dari jam 8 pagi - 12 siang jg disewain buat studio foto. 
jd buat kalian yg pengen nongkrong2 ngopi cantik aja, foto2nya pake hp ajaa yaa ges 🤙 .
.
📍@tropikalcoffee .
💸 15k-25k 
#cafesuroboyo #cafesub #cafehits #cafesby #cafesurabaya #exploresby #jalansurabaya #makansurabaya #kulinersby #tempathitzsby #hitzsurabaya #surabayasparkling #surabayacafe #surabayabarat #sehat  #surabayajalanjalan #exploresurabaya #kafedisurabaya #kopisurabaya",42
"recommend baru ni guys!! ala ala mediteranea restaurant di salah satu pusat kota @barbarossa.id
tempatnya cozy and instagramable abis buat kalian yg suka nongkrong rame-rame bareng temen. .
📍@barbarossa.id
.
📸@njoshsandy

#cafesuroboyo #cafesub #cafehits #cafesby #kafedisurabaya #surabayakafe #tempatsurabaya #nongkrongsurabaya #ngopisub  #cafesurabaya #exploresby #jalansurabaya #makansurabaya #kulinersby #tempathitzsby #hitzsurabaya #surabayasparkling #surabayacafe #surabayabarat #sehat  #surabayajalanjalan #exploresurabaya #kafedisurabaya #kopisurabaya",43
"every day is a new day~
.
.
📍@briosse.id .
📸@helminerina 
#cafesuroboyo #cafesub #cafehits #cafesby #cafesurabaya #exploresby #jalansurabaya #makansurabaya #kulinersby #tempathitzsby #hitzsurabaya #surabayasparkling #surabayacafe #surabayabarat #sehat  #surabayajalanjalan #exploresurabaya #kafedisurabaya #kopisurabaya",30
"The most beautiful experience we can have is the mysterious. It is the fundamental emotion that stands at the cradle of true art and true science- Albert Einstein .
.
📸@tempati.sub .
📍@shilvia_lie

#cafesuroboyo #cafesub #cafehits #cafesby #cafesurabaya #exploresby #jalansurabaya #makansurabaya #kulinersby #tempathitzsby #hitzsurabaya #surabayasparkling #surabayacafe #surabayabarat #sehat  #surabayajalanjalan #exploresurabaya #kafedisurabaya #kopisurabaya",25
"weekend vibes 🥝
.
.
📍@sliceofcali .
📸@alvinapinot

#cafesuroboyo #cafesub #cafehits #cafesby #cafesurabaya #exploresby #jalansurabaya #makansurabaya #kulinersby #tempathitzsby #hitzsurabaya #surabayasparkling #surabayacafe #surabayabarat #sehat  #surabayajalanjalan #exploresurabaya #kafedisurabaya #kopisurabaya",40
"a healthy outside starts from the inside 🥝
.
📍@saladbar.hadikitchen .
📸@helminerina
.
.
#cafesuroboyo #cafesub #cafehits #cafesby #cafesurabaya #exploresby #jalansurabaya #makansurabaya #kulinersby #tempathitzsby #hitzsurabaya #surabayasparkling #surabayacafe #surabayabarat #sehat  #surabayajalanjalan #exploresurabaya #kafedisurabaya #kopisurabaya",38
"dream without fear, live without limits 🍂
.
📸@ilmiarofi
📍@voscocoffee.sby

#cafesuroboyo #cafesub #cafehits #cafesby #cafesurabaya #exploresby #jalansurabaya #makansurabaya #kulinersby #tempathitzsby #hitzsurabaya #surabayasparkling #surabayacafe #surabayajalanjalan #exploresurabaya #kafedisurabaya #kopisurabaya",26
"happy freeday ☕
.
📍@theoaktree.sub .
📸@umyols_

#cafesuroboyo #cafesub #cafehits #cafesby #cafesurabaya #exploresby #jalansurabaya #makansurabaya #kulinersby #tempathitzsby #hitzsurabaya #surabayasparkling #surabayacafe #surabayajalanjalan #exploresurabaya #kafedisurabaya #kopisurabaya",30
"happy monday 🌻 .
.
📍@kamikamueatery
.
📸@claudioharendp 
#cafesuroboyo #cafesub #cafehits #cafesby #cafesurabaya #exploresby #jalansurabaya #makansurabaya #kulinersby #tempathitzsby #hitzsurabaya #surabayasparkling #surabayacafe #surabayajalanjalan #exploresurabaya #kafedisurabaya #kopisurabaya",40
"If you cannot do great things, do small things in a great way -Napoleon Hill
.
📍@sequence.sub .
📸@dhiptadi 
#cafesuroboyo #cafesub #cafehits #cafesby #cafesurabaya #exploresby #jalansurabaya #makansurabaya #kulinersby #tempathitzsby #hitzsurabaya #surabayasparkling #surabayacafe #surabayajalanjalan #exploresurabaya #kafedisurabaya #kopisurabaya",31
"uda mau buka puasa, uda ada rencana buber dimana? .
📍@dijual.sub .
📸@endahkus_ 
#cafesuroboyo #cafesub #cafehits #cafesby #cafesurabaya #exploresby #jalansurabaya #makansurabaya #kulinersby #tempathitzsby #hitzsurabaya #surabayasparkling #surabayacafe",37
"start your day with coffee ☕ .
.
📍@lo.ka.sy @bycoffee_ind
.
📸@helminerina

#cafesuroboyo #cafesub #cafehits #cafesby #cafesurabaya #exploresby #jalansurabaya #makansurabaya #kulinersby #tempathitzsby #hitzsurabaya #surabayasparkling #surabayacafe",37
"Puasaan bentar lagi habis ni gengs! uda ada rencana kemana? .
📍@parisiennepastry .
📷@fannyhalimm

#cafesuroboyo #cafesub #cafehits #cafesby #cafesurabaya #exploresby #jalansurabaya #makansurabaya #kulinersby #tempathitzsby #hitzsurabaya #surabayasparkling #surabayacafe",25
"ready to holiday? 🌴
.
📍@tbrkrumahkopi
📷@ms.sightseeing 
#cafesuroboyo #cafesub #cafehits #cafesby #cafesurabaya #exploresby #jalansurabaya #makansurabaya #kulinersby #tempathitzsby #hitzsurabaya #surabayasparkling #surabayacafe",40
"Good morning 🌞
.
.
📍@caturraespresso .
📷@viviyenlii

#cafesuroboyo #cafesub #cafehits #cafesby #cafesurabaya #exploresby #jalansurabaya #makansurabaya #kulinersby #tempathitzsby #hitzsurabaya #surabayasparkling #surabayacafe",30
"tetap semangat puasa kan?
.
.
📍@lumercafe .
📷@firdatraveldiary

#cafesuroboyo #cafesub #cafehits #cafesby #cafesurabaya #exploresby #jalansurabaya #makansurabaya #kulinersby #tempathitzsby #hitzsurabaya",19
"life begins after coffee☕
.
📍@moeng.kopi .
📸@zulfikaredhh
#cafesuroboyo #cafesub #cafehits #cafesby #cafesurabaya #exploresby #jalansurabaya #makansurabaya #kulinersby #tempathitzsby #hitzsurabaya",32
"every place have a story ☕.
📍@kudos_cafe .
📸 @helminerina

#cafesuroboyo #cafesub #cafehits #cafesby #cafesurabaya #exploresby #jalansurabaya #makansurabaya #kulinersby #tempathitzsby #hitzsurabaya",15
"happy free-day ☕
.
📍@locaahands_ .
📸 @dhiptadi

#cafesuroboyo #cafesub #cafehits #cafesby #cafesurabaya #exploresby #jalansurabaya #makansurabaya #kulinersby #tempathitzsby #hitzsurabaya",19
"the colour pink makes everything look pretty 💗
.
📍 @michuu.coffee .
📸 @firdatraveldiary

#cafesuroboyo #cafesub #cafehits #cafesby #cafesurabaya #exploresby #jalansurabaya #makansurabaya #kulinersby #tempathitzsby #hitzsurabaya",26
